,words,cos,id,brand,hash_similarity,match,match_prediction
867,0.3333333333333333,0.2462696856984602,0.0,0.0,0.0625,1,0
189,0.1428571428571428,0.1024729038780985,0.0,0.0,0.0,1,0
1135,0.2857142857142857,0.2911113612033918,0.0,0.0,0.0625,1,0
65,0.6666666666666666,0.5321236023417115,0.0,0.0,0.1875,0,1
666,0.6153846153846154,0.5630401966411835,0.0,0.0,0.0,0,1
94,0.625,0.6459761669579769,0.0,0.0,0.3125,0,1
1191,0.2222222222222222,0.0929515506745328,0.0,0.0,0.125,1,0
1621,0.3333333333333333,0.3180870383815637,0.0,0.0,0.0,1,0
1727,1.0,1.0000000000000002,0.0,0.0,0.0,0,1
257,0.0,0.0,0.0,0.0,0.0,1,0
334,0.2857142857142857,0.2994214034410876,0.0,0.0,0.1875,1,0
1747,0.7777777777777778,0.5799132975281356,0.0,0.0,0.0,0,1
939,0.375,0.2004778216459598,0.0,0.0,0.0625,1,0
1706,0.5,0.4913810310780393,0.0,0.0,0.6875,0,1
1612,0.3333333333333333,0.3180870383815637,0.0,0.0,0.0,1,0
977,0.4285714285714285,0.3403057187001382,0.0,0.0,0.6875,1,0
918,0.1111111111111111,0.1393878076206711,0.0,0.0,0.0,1,0
899,0.6666666666666666,0.4934040372641134,0.0,1.0,0.6875,1,0
1193,0.2222222222222222,0.0929515506745328,0.0,0.0,0.125,1,0
329,0.5,0.40852100571141,0.0,0.0,0.1875,1,0
1122,0.375,0.2799396732390524,0.0,0.0,0.0625,1,0
1521,0.4285714285714285,0.4514831261404928,0.0,0.0,0.0,1,0
1707,0.5,0.4292256633060139,0.0,0.0,0.625,0,1
88,0.6666666666666666,0.5586556769437505,0.0,0.0,0.5,0,1
985,0.3333333333333333,0.2144392237996479,0.0,0.0,0.5625,1,0
297,0.5,0.1825311891659405,0.0,0.0,0.0,1,0
1704,0.75,0.5857646335426198,0.0,0.0,0.5,0,1
9,0.8,0.5404253926141439,0.0,0.0,0.3125,0,1
500,0.6363636363636364,0.4597554013886346,0.0,0.0,0.875,0,1
294,0.5,0.1957477206981967,0.0,0.0,0.0,1,0
1249,0.75,0.6120639639763392,0.0,0.0,0.0,0,1
216,0.5454545454545454,0.3781228399646978,0.0,0.0,0.25,1,0
1449,0.6666666666666666,0.5211840903117452,0.0,0.0,0.0,0,1
920,0.3333333333333333,0.1455392466980153,0.0,0.0,0.0625,1,0
1207,0.75,0.6149457233510158,0.0,0.0,0.0,0,1
1264,0.8,0.8364505476656989,0.0,0.0,0.0,0,1
1198,0.3333333333333333,0.5285057457626104,0.0,1.0,0.25,1,0
1246,1.0,0.7194559803796376,0.0,0.0,0.0,0,1
615,0.7,0.4917591082180185,0.0,0.0,0.0,0,1
1086,0.2727272727272727,0.3311886838339098,0.0,0.0,0.1875,1,0
1109,0.375,0.2799396732390524,0.0,0.0,0.0625,1,0
1735,1.0,0.7324766478692303,0.0,0.0,0.25,0,1
1149,0.3333333333333333,0.3774642499669215,0.0,0.0,0.0,1,0
1387,0.8,0.5730321737416023,0.0,0.0,0.0,0,1
190,0.2,0.1136213542963381,0.0,0.0,0.0,1,0
904,0.3333333333333333,0.1458991742180307,0.0,0.0,0.0,1,0
924,0.4,0.329291512549579,0.0,0.0,0.25,1,0
953,0.3333333333333333,0.2539300032678581,0.0,0.0,0.125,1,0
599,0.5714285714285714,0.555325545408962,0.0,0.0,0.4375,0,1
1508,0.3333333333333333,0.3599128294284758,0.0,0.0,0.0,1,0
601,0.4285714285714285,0.4481538484740939,0.0,0.0,0.125,0,1
87,0.6666666666666666,0.5586556769437505,0.0,0.0,0.0625,0,1
332,0.4285714285714285,0.4506597953209418,0.0,0.0,0.0,1,0
103,0.6666666666666666,0.5657742409488715,0.0,0.0,0.0625,0,1
118,1.0,0.6962815931474314,0.0,0.0,0.1875,0,1
1082,0.6666666666666666,0.3753419604463182,0.0,0.0,0.0625,1,0
1113,0.375,0.2799396732390524,0.0,0.0,0.0625,1,0
90,0.6666666666666666,0.4841709496924904,0.0,0.0,0.0625,0,1
894,0.2,0.2181295107566779,0.0,0.0,0.0,1,0
1665,0.2857142857142857,0.1855102513492953,0.0,0.0,0.0,1,0
289,0.5,0.1957477206981967,0.0,0.0,0.0,1,0
955,0.3333333333333333,0.2677172421743647,0.0,0.0,0.125,1,0
1164,0.4444444444444444,0.2580453740651161,0.0,0.0,0.0,1,0
1221,0.75,0.5870076167661074,0.0,0.0,0.0,0,1
942,0.6,0.5811427252829743,0.0,1.0,0.125,1,0
293,0.5,0.1825311891659405,0.0,0.0,0.0,1,0
405,0.8571428571428571,0.7708581274507357,0.0,0.0,0.0,0,1
1147,0.5,0.3458525063817018,0.0,0.0,0.6875,1,0
959,0.4285714285714285,0.3902710728291465,0.0,0.0,0.0,1,0
970,0.4285714285714285,0.332089263299251,0.0,0.0,0.5625,1,0
868,0.3333333333333333,0.2462696856984602,0.0,0.0,0.0625,1,0
340,0.0,0.0,0.0,0.0,0.1875,1,0
1667,0.2857142857142857,0.1855102513492953,0.0,0.0,0.0,1,0
1089,0.5,0.4272806202149183,0.0,0.0,0.1875,1,0
1332,0.5,0.4780858128572855,0.0,0.0,0.0,0,1
1728,1.0,1.0,0.0,0.0,0.0,0,1
